Eficiencia Exploración,Epsilon Decay,Epsilon Min,Epsilon Start,Pasos Totales,Pasos/Segundo,Pokemon Obtenidos,Posiciones Exploradas,Recompensa Promedio,Recompensa Total,Suma de Niveles,Tiempo (s),Timestamp,Algorithm,Source_File,Eficiencia (Rew/Paso),Estado de Ejecución,Velocidad (Pasos/s),Escenario,Memoria (MB),Razón,Agente,Modelo,Acción Más Usada,Algoritmo,Eficiencia (Recompensa/Paso),Posiciones Visitadas,Razón de Terminación,Total_Steps,Execution_Time,Total_Reward,Efficiency,Speed
0.3806343906510851,0.9995,0.05,0.5,1198.0,1198.0,1.0,456.0,0.2114195325542571,253.28060000000008,11.0,0.0045454502105712,1758505044.0,unknown,RESULTADOS\test_epsilon\epsilon_greedy_summary_1758505044.csv,,,,,,,,,,,,,,1198.0,0.0045454502105712,253.28060000000008,0.21141953255425716,11980.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\astar_default\enhanced_summary_1758587459.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\bfs_default\enhanced_summary_1758587461.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\epsilon_greedy_alta_exploracion\enhanced_summary_1758587453.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\epsilon_greedy_balanceada\enhanced_summary_1758587455.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\epsilon_greedy_conservadora\enhanced_summary_1758587457.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\hill_climbing_first_improvement\enhanced_summary_1758587467.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\hill_climbing_random_restart\enhanced_summary_1758587469.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\hill_climbing_steepest_ascent\enhanced_summary_1758587465.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,0,,,,,0.0,,1.5402381420135498,,unknown,RESULTADOS\enhanced_execution\ppo_default\enhanced_summary_1758587450.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,1.5402381420135498,0.0,0.0,0.0
,,,,0,,,,,0.0,,10.95754885673523,,unknown,RESULTADOS\enhanced_execution\ppo_default\enhanced_summary_1758590280.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,10.95754885673523,0.0,0.0,0.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\simulated_annealing_default\enhanced_summary_1758587471.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,0,,,,,0.0,,0.0,,unknown,RESULTADOS\enhanced_execution\tabu_search_default\enhanced_summary_1758587463.csv,0.0,Fallido,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
,,,,47738,14.856032127751966,,,,63.5,,3213.374849319458,1758339151,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\1\epsilon_greedy_summary_1758339151.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),221.48828125,Interrumpido por usuario,,,,,,,,47738.0,3213.374849319458,63.5,0.0013301772173111568,14.856032127751966
,,,,14744,14.866590347832753,,,,49.3,,991.7539701461792,1758379570,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\10\epsilon_greedy_summary_1758379570.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),188.37109375,Interrumpido por usuario,,,,,,,,14744.0,991.7539701461792,49.3,0.003343733043950081,14.866590347832753
,,,,25721,14.86217372609344,,,,37.6,,1730.6351327896118,1758382562,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\11\epsilon_greedy_summary_1758382562.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),203.6328125,Interrumpido por usuario,,,,,,,,25721.0,1730.6351327896118,37.6,0.0014618405194199292,14.86217372609344
,,,,9293,14.875558952718823,,,,51.400000000000006,,624.7160210609436,1758339851,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\2\epsilon_greedy_summary_1758339851.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),177.859375,Interrumpido por usuario,,,,,,,,9293.0,624.7160210609436,51.400000000000006,0.005531044872484667,14.875558952718823
,,,,12652,14.880481545165429,,,,50.0,,850.2413017749786,1758341468,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\4\epsilon_greedy_summary_1758341468.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),182.05859375,Interrumpido por usuario,,,,,,,,12652.0,850.2413017749786,50.0,0.003951944356623459,14.880481545165429
,,,,6991,14.874199812374556,,,,45.0,,470.00847697257996,1758341959,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\5\epsilon_greedy_summary_1758341959.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),178.8203125,Interrumpido por usuario,,,,,,,,6991.0,470.00847697258,45.0,0.006436847375196682,14.874199812374554
,,,,31748,14.882121392980617,,,,61.9,,2133.2980132102966,1758344124,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\6\epsilon_greedy_summary_1758344124.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),214.8359375,Interrumpido por usuario,,,,,,,,31748.0,2133.2980132102966,61.9,0.0019497291167947586,14.882121392980617
,,,,23611,14.886181918864143,,,,52.6,,1586.1018042564392,1758376043,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\7\epsilon_greedy_summary_1758376043.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),198.921875,Interrumpido por usuario,,,,,,,,23611.0,1586.1018042564392,52.6,0.0022277751895303038,14.886181918864143
,,,,31546,14.748420078222845,,,,51.2,,2138.940973520279,1758378203,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\8\epsilon_greedy_summary_1758378203.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),215.8671875,Interrumpido por usuario,,,,,,,,31546.0,2138.940973520279,51.2,0.0016230266911811324,14.748420078222845
,,,,4535,14.734592475325766,,,,34.1,,307.77912640571594,1758378533,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\9\epsilon_greedy_summary_1758378533.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),171.63671875,Interrumpido por usuario,,,,,,,,4535.0,307.77912640571594,34.1,0.007519294377067255,14.734592475325766
0.4276315789473684,0.999,0.1,0.9,304.0,304.0,1.0,130.0,0.5189254440789474,157.753335,5.0,0.0015137195587158,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\1\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,304.0,0.0015137195587158,157.753335,0.5189254440789474,3040.0
0.4117647058823529,0.999,0.1,0.9,85.0,85.0,1.0,35.0,1.359955988235294,115.596259,5.0,0.0,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\10\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,85.0,0.0,115.596259,1.359955988235294,850.0
